id,language,pred_lang_title,pred_lang_abstract,title,abstract
1,eng,__label__ind_Latn,__label__ind_Latn,SPIRITUALITAS MASYARAKAT PERKOTAAN,"Masyarakat perkotaan sering diidentikan sebagai masyarakat modern, dikarenakan cara berfikir dan berteknologinya yang modern . Modernitas melekat pada corak masyarakat perkotaan, yang secara sosiologis cenderung bersifat individualistis, matrealistik, rasionalistik, formalistic sehingga sikap sikap tersebut mempengaruhi cara keberagamaan msyarakatnya, diakibatkan dari dampak negative modernitas yang melingkupi jiwa manusia dan terbuai di dalamnya. Kondisi ini tidak selamanya memberikan kenyamanan, jiwa mereka mengalami kehampaan, keterasingan (split personality). Untuk mengetahui latar belakang dan orientasi model spiritual masyarakat perkotaan  yang sedang fenomenal, maka penelitian ini menggunakan pendekatan sosiologi agama, dengan hasil bahwa  hal  itu terjadi karena mereka tidak bisa mengimbangi pengaruh modernitas dengan nilai nilai dan pemahaman keagamaannya.Dalam otak manusia terdapat ranah yang disebut Zohar (spiritual intelligence) sebagai God Spot, yang menyebabkan manusia akan selalu mencari sesuatu yang bisa memenuhi kehampaan dalam hidunya. Terjadilah gelombang spiritualitas masyarakat perkotaan dengan  lahirnya kajian-kajian,  majelis dzikir, tablig akbar, dan acara acara yang berdimensi spiritual.  Masyarakat modern saat ini berusaha kembali kepada fitrahnya yakni visi ke-Ilahian yang selama ini terbelenggu topeng manis modernitas. Spiritualitas sebagai penghayatan batiniah kepada Tuhan melalui jalan- jalan tertentu akan mengantarkan masyarakat modern kembali kepada nilai nilai religius. Kebutuhan spiritual adalah kebutuhan untuk mempertahankan dan mengembalikan keyakinan dan memenuhi kewajiaban agama. Sedangkan bagi masyarakat yang bisa mengimbangi pengaruh modernitas mentalnya lebih siap, sehingga pengaruhnya tidak begitu besar, mereka memiliki keseimbangan dalam hidupnya dengan tetap mendalami agama. Dapat disimpulkan bahwa spiritualisme dalam perkembangannya mengalami dinamisasi yang beragam, termasuk pada sisi implemantasi ajaran. Kerinduan pada spiritualisme tampaknya melanda beberapa masyarakat modern. Salah satu fenomena spiritualitasnya dengan berkembangnya majelis-majelis keagamaan (majelis Dzikir) terutama dikalangan kaum kota yang terdidik secara modern. Bahkan keberadaanya bukan sekedar ritual tetapi kekuatan spiritual yang mampu  membangkitkan kesadaran (berorientasi pada tasawuf), dengan melahirkan  model tasawuf baru yaitu Urban Sufisme.Kata kunci: masyarakat, modern, spiritual"
3,eng,__label__ind_Latn,__label__ind_Latn,NABI ZAKARIA AS. DAN SITI MARYAM AS. FIGUR MANUSIA UNGGUL,"Sistem pendidikan,  pendidikan masa kanak-kanak, pengaruh lingkungan atau milieu, pemikiran keagamaan, pengaruh keluarga, latar sosial- politik, pelatihan intelektual dan sebagainya sangat berpengaruh untuk membentuk kepribadian seseorang. Tokoh Nabi Zakaria as. dan Siti Maryam yang diukir namanya dalam Al-Quran merupakan figur orang tua dan anak didik yang sama-sama memiliki keistimewaan luarbiasa yang patut diteladani, sehingga dapat menjadi model pendidikan yang unggul. Kata Kunci : Nadzar, komitmen, pendidikan"
5,eng,__label__ind_Latn,__label__ind_Latn,Al-HIKMAH DALAM DAKWAH ISLAMIYAH (Metode-Syarat-Tantangan dan Sikap Dakwah),"Gerakan dakwah Islamiyah yang dilakukan pada saat ini dan masa mendatang dihadapkan pada tantangan yang semakin berat. Masalah yang dihadapi  umat  yaitu pesatnya ilmu pengetahuan dan teknologi,   globalisasi dan arus informasi.   Di mana da’i (komunikator) harus menekankan pentingnya dakwah baik secara individu maupun   kelompok secara profesional. Dakwah bukan saja memberikan wawasan keislaman yang lebih luas (yang bersifat kognitif), dan bukan juga hanya memberikan hiburan untuk melupakan persoalan dan meredakan tekanan psikologisnya. Tetapi dakwah Islamiyah juga harus mampu membantu orang-orang modern dalam memahami dirinya. Para da’i (komunikator) harus mampu untuk membimbing umat guna memahami realitas, yaitu dengan memaksimalkan potensi yang mereka miliki dan akhirnya akan dapat mengembangkan kepribadian mereka dan berhasil secara efisien dan efektif sebagaimana diungkapkan dalam  al-Qur’an surat An-Nahl:125   bagaimana metode-syarat tantangan dan sikap berdakwah. Kata kunci : dakwah, hikmah, metode"
7,eng,__label__ind_Latn,__label__ind_Latn,PERAN MEDIA DALAM PENYELESIAN KONFLIK SOSIAL,"Perubahan sosial menuntut penyesuaian dalam berbagai hal, termasuk dalam memahami konflik. Konflik sebagai fenomena titik singgung antara berbagai kepentingan.  Pemberitaan di media massa pada dasarnya adalah cerminan realitas. Dalam konteks Indonesia, masih dapat ditemukan banyak pemberitaan tentang konflik baik konflik horizontal maupun konflik politis. Memasuki fase reformasi menandai bahwa sistem politik maupun sistem pers di Indonesia ada pada era yang lebih terbuka. Tapi di lain pihak era keterbukaan seperti ini tidak menjadikan sistem politik dan sistem pers yang lebih demokratis pula. Media massa yang mengangkat pemberitaan tentang konflik dan kekerasan yang pada masa Orde Baru tidak banyak nampak di permukaan justru menjadi hal yang sangat lumrah terjadi pada era reformasi saat ini. Media massa dapat berperan dalam menjembatani suara-suara masyarakat yang selama ini diabaikan oleh para elit politik. Jika komunikasi tersebut dapat diciptakan dengan kontribusi dari media massa, maka harapan terbentuknya tatanan politik yang demokratis lebih dapat diharapkan.Kata kunci: Media, Konflik Sosial, Penyelesaian Konflik"
9,eng,__label__ind_Latn,__label__ind_Latn,ANALISIS KINERJA PENGELOLAAN ZAKAT INFAK BAITUL MAAL UNISBA,"Baitul Maal Unisba (BMU) adalah lembaga yang berfungsi menghimpun, mengelola dan mendayagukan zakat infak dari para donator khususnya dosen, karyawan dan mahasiswa UNISBA. Perjalanan Baitul Maal Unisba sejak tahun 2006 belum optimal, baik dari aspek penghimpunan dana zakat infak, aspek pendistribusian ataupun aspek pengelolaan keuangan. Kondisi tersebut disebabkan belum optimalnya kinerja organisasi Baitul Maal Unisba. Jenis penelitian yang digunakan adalah penelitian deskriptif verivikatif dengan metode study kasus melalui teknik pengumpulan data kuesioner, dokumentasi dan wawancara. Penelitian ini menggunakan sensus terhadap stakeholder Baitul Maal Unisba yang dijadikan sebagai subjek penelitian, dengan responden dari masing-masing stakeholder diambil secara proporsional sebanyak 50 responden. Adapun tujuan dari penelitian ini adalah: (i) Untuk menggambarkan pengelolaan zakat infak di Baitul Maal Unisba (ii) Untuk mengetahui tingkat kinerja Baitul Maal Unisba. Hasil penelitian menunjukan bahwa tingkat kinerja pengelolaan zakat infak Baitul Maal Unisba berada pada tingkat cukup berdasarkan hasil penilaian responden dengan jumlah prosentase sebesar 46%. Kata Kunci : Kinerja, Infak dan Zakat "
11,eng,__label__ind_Latn,__label__ind_Latn,"STRATEGI DAKWAH DALAM RANGKA MENGEMBANGKAN INDIVIDU, KELUARGA DAN MASYARAKAT","Dakwah dalam konteks sosio-kultural memerlukan variasi pendekatan keilmuan yang melintas batas wilayah deduktif. Dalam menyoroti pengembangan diri, maka dikemukakan beberapa teori sebagai berikut: (1) pengembangan potensi; (2) adaptasi lingkungan; (3) pengembangan keunikan secara menyeluruh; (4) pengembangan karakter; dan (5) proses sosialisasi diri.Kelima teori di atas adalah berkaitan dengan proses, sementara itu contentnya berhubungan dengan aqidah, ibadah dan akhlak. Kata kunci : Strategi, Dakwah, Individu, Keluarga, Masyarakat"
13,ind,__label__ind_Latn,__label__eng_Latn,Pelaksanaan Model Pembelajaran Aptitude Treatment Interaction Dalam Meningkatkan Aktivitas Belajar Siswa Pada Mata Pelajaran Alquran Hadits Di Mts Negeri Cikembar Kabupaten Sukabumi,"MTs Negeri Cikembar Kabupaten Sukabumi, especially class VIII in the process of learning the Qur'an Hadith consists of various backgrounds of learners with different capabilities provide an effective learning model and fun, not as long as this is just the development of lessons with a direction that rely more on lectures , One that was developed to overcome the problems of the different characteristics and capabilities is by using Aptitude Treatment Interaction (ATI). As one form of Quran Hadith methods do teachers grade VIII MTs Negeri Cikembar Kabupaten Sukabumi by providing guidance to students vary according to the level abilities, so that they will easily understand their lessons, because they are treated in accordance with the level of ability.This study aims to determine the instructional planning, implementation measures of learning, the difficulties and the evaluation of Learning Aptitude Treatment Interaction Model in improving student learning activities in the subjects Qur'an Hadith at MTs Negeri Cikembar Kabupaten Sukabumi.The results showed conclusion, namely: first, the Draft Model of Learning Aptitude Treatment Interaction in improving student learning activities in the subjects Qur'an Hadith at MTs Negeri Cikembar Kabupaten Sukabumi have been taken with good preparation, including by formulating complete: a. Learning Objectives; b. Learning materials; c. Learning Strategies; d. Learning methods; d. Learning techniques; e. Learning Tactics, and; f. Syllabus development and preparation of teaching; secondly, steps that teachers in implementing the learning model Aptitude Treatment Interaction begins by dividing the students into three groups adapted to the abilities (high, medium and low), the low-ability learners Treatment is by guiding them one by one, especially from corner reading and writing. For medium capable learners Treatment with regular learning process with variations such as discussion and question and answer, for the high-ability learners Treatment with self-learning with more invites learners examine the subject matter; Third, the difficulty of the application of the model is the level of capacity and competence of teachers in the mastery learning model Aptitude Treatment Interaction and use of media; Fourth: This evaluation is quite good and has met the assessment standards / learning outcomes in general. This shows the implementation model of Learning Aptitude Treatment Interaction takes place smoothly and in accordance with the target set."
15,ind,__label__ind_Latn,__label__eng_Latn,Hubungan Kepemimpinan Dengan Efektivitas  Komunikasi Organisasi,"The quality of communication in carrying out the work is typically initiated by the leadership. To give effect to his subordinates, a leader must have good communication skills, especially in the organization they lead. To implement effective communication, a leadership of the organization should perform their role and maintain control over its members, stimulating members to their duties, and gives the option to take a decision. This study was conducted to determine how much the relationship of leadership, which is described in the dimensions create a positive climate, attention to subordinates, and professional recognition of the status subordinate to the effectiveness of organizational communication at Dinas Perindustrian Perdagangan, Koperasi dan UMKM Kabupaten Bandung Barat.This research is a quantitative correlation method involving respondents as many as 62 employees of the Dinas Perindustrian Perdagangan, Koperasi dan UMKM Kabupaten Bandung Barat. The data collection is done by using a questionnaire and the results are then analyzed using regression analysis.The results showed that the effectiveness of organizational communication at the Dinas Perindustrian Perdagangan, Koperasi dan UMKM Kabupaten Bandung Barat has a relationship with the ability to lead in creating a positive climate has an influence that was at .480, with the ability of the leadership's attention to subordinates have a strong influence amounted to 0.601, and with the ability of the leadership in the professional recognition of the status of the subordinate has a strong influence at 0.685. Recommendations based on the results of this research is to improve the effectiveness of organizational communication can be done by giving priority to the implementation of the indicator so that in addition to the organization's communication becomes more effective, but also will provide the motivation to improve performance, in addition to need additional studies that can measure other factors that will support the the achievement of effective organizational communication."
17,ind,__label__ind_Latn,__label__eng_Latn,PENGALIHAN TANGGUNG JAWAB PERAWAT KEPADA RUMAH SAKIT MELALUI PERTANGGUNGAN ASURANSI BERDASARKAN PRINSIP VICARIOUS LIABILITY DIHUBUNGKAN DENGAN UNDANG-UNDANG NOMOR 38 TAHUN 2014 TENTANG KEPERAWATAN JUNCTO UNDANG-UNDANG NOMOR 44 TAHUN 2009 TENTANG RUMAH SAKI,"Today, the claim on legal liabilities towards health professionals, both doctors and nurses, has continuously increased. In line with the development of insurance, came an idea to transfer liability of nurses or doctors who committed negligence that resulted damage on patients through insurance coverage. This research aims to analyze the liability of hospital for negligence of nursing actions performed by nurses, and the mechanism of transferring such liability to hospital through insurance coverage in accordance with the principle of vicarious liability and the Indonesian Act on Nursing and Law Hospital. This research indicated that under the principle of Vicarious Liability, hospital was liable for omissions conducted by Health Care Providers including nurse who works for and on behalf of the hospital and who committed negligence that resulted damage on patients even though the action was carried out in accordance with professional standards and there was a working relationship based on the rules established between nurses and hospitals. In conclusion, the hospital might be liable for omissions conducted by nurse through insurance coverage as part of the obligation of hospital to carry out the service task which was bound by the agreed employment relationship."
19,ind,__label__ind_Latn,__label__ind_Latn,Peran Dokter Anak Dalam Proses Hukum Adopsi Antar Warga Negara Indonesia,adopsi atau pengangkatan anak
