oai_url,application,version,earliest_datestamp,repository_name,set_spec,context_name,stats_id,total_record_count,issn,country_marc,country_issn,country_doaj,country_tld,country_ip,country_consolidated,best_doaj_url,last_completed_update,first_beacon,last_beacon,last_oai_response,unresponsive_endpoint,unresponsive_context,record_count_2020,record_count_2021,record_count_2022,record_count_2023,record_count_2024,record_count_2025,region
https://journalskuwait.org/kjs/index.php/index/oai,ojs,3.2.1.1,2025-09-26 11:26:41,Kuwait Journal of Science,KJS,Kuwait Journal of Science,57e6e2b01e496,667,"2307-4108
2307-4116","ku
ku","KW
KW",,,CA,KW,,2025-09-26 11:27:13,2020-05-01 00:07:42,2020-10-11 02:40:55,2025-09-26 11:26:42,0,0,60,106,111,77,0,0,Middle East & North Africa
https://cakrawalajournal.org/index.php/index/oai,ojs,3.3.0.20,2018-10-19 05:42:53,CAKRAWALA,cakrawala,Cakrawala,5a75de514f826,421,"1978-0354
2622-013X","io
io","ID
ID",,,ID,ID,,2025-09-29 01:22:18,2020-05-01 00:19:48,2025-08-01 01:53:47,2025-09-29 01:21:57,0,0,24,24,18,22,28,11,East Asia & Pacific
https://sintesa.stkip-arrahmaniyah.ac.id/index.php/index/oai,ojs,2.4.8.4,2020-02-13 15:37:03,Sintesa: Jurnal Ilmu Pendidikan STKIP Arrahmaniyah Depok,sintesa,Sintesa: Jurnal Ilmu Pendidikan,5e36a3a1d395f,73,2085-7063,io,ID,,ID,ID,ID,,2024-12-12 08:39:44,2020-05-01 00:15:15,2024-12-16 06:37:14,2024-12-12 08:39:36,0,0,14,11,13,21,0,0,East Asia & Pacific
https://ojs.sttibc.ac.id/index.php/index/oai,ojs,3.2.1.3,2020-05-13 04:47:13,CARAKA:Jurnal Teologi,ibc,CARAKA: Jurnal Teologi Biblika dan Praktika,5dccc015ca0dd,110,"2722-1393
2722-1407","io
io","ID
ID",,ID,SG,ID,,2025-01-29 06:45:44,2020-05-01 00:07:21,2025-08-14 06:45:31,2025-01-20 07:07:30,0,0,18,20,20,19,20,13,East Asia & Pacific
https://jurnal.bpk.go.id/index.php/index/oai,ojs,3.3.0.17,2016-02-24 10:22:06,Open Journal Systems,TAKEN,Jurnal Tata Kelola dan Akuntabilitas Keuangan Negara,558b7cca7c907,132,"2460-3937
2549-452X","io
io","ID
ID",ID,ID,ID,ID,https://jurnal.bpk.go.id/index.php/TAKEN/index,2025-09-28 04:33:45,2020-05-01 00:13:41,2024-11-05 06:52:46,2025-09-28 04:33:04,0,0,12,15,14,19,14,0,East Asia & Pacific
https://journal.stkippamanetalino.ac.id/index.php/index/oai,ojs,2.4.8.4,2019-10-31 04:05:19,Rumah Jurnal STKIP Pamane Talino Ngabang,bahasa-inggris,JOEEL (Journal of English Education and Literature),5cd8eade3014b,50,"2723-309X
2723-3103","io
io","ID
ID",,ID,ID,ID,,2025-05-24 18:54:59,2020-05-01 00:21:37,2025-09-28 08:22:05,2025-05-24 18:54:24,0,0,10,10,10,10,10,0,East Asia & Pacific
https://mpaeds.my/journals/index.php/index/oai,ojs,3.3.0.19,2020-07-21 06:26:30,,MJPCH,Malaysian Journal of Paediatrics and Child Health,5cb239653aa24,112,"1511-4511
3093-8112",my,MY,,MY,SG,MY,,2025-10-01 01:34:37,2020-05-01 00:02:11,2025-09-09 09:15:50,2025-10-01 01:34:22,0,0,28,0,0,0,21,39,East Asia & Pacific
https://josi.ft.unand.ac.id/index.php/index/oai,ojs,3.3.0.19,2024-11-19 15:21:30,,josi,Jurnal Optimasi Sistem Industri,56de4383cb301,386,"2088-4842
2442-8795","io
io","ID
ID",,ID,ID,ID,,2025-10-01 07:57:49,2020-05-01 00:17:50,2025-09-17 16:43:13,2025-10-01 07:57:31,0,0,32,32,22,39,20,17,East Asia & Pacific
https://engineeringjournals.stmjournals.in/index.php/index/oai,ojs,2.4.8.2,2017-12-06 10:56:07,Engineering Journals,JoPC,Journal of Polymer & Composites,5a0ff7506f24f,228,,,,,IN,US,IN,,2025-09-24 06:10:20,2020-05-01 00:00:20,2025-09-05 11:10:46,2025-09-24 05:54:11,0,0,33,25,21,38,13,0,South Asia
https://e-journal.upr.ac.id/index.php/index/oai,ojs,3.3.0.21,2019-08-29 09:09:08,Journal Online Universitas Palangka Raya,JTP,JURNAL TEKNIK PERTAMBANGAN,5d5b4b62c3224,40,"2087-1058
2988-7712","io
io","ID
ID",,ID,ID,ID,,2025-01-28 05:10:59,2020-05-01 00:02:43,2025-10-01 01:30:03,2025-01-28 05:05:05,0,0,0,0,0,10,18,12,East Asia & Pacific
